experiment_id	timestamp	metric_type	model_description	n_features	mean_oos_r2	stability	adjusted_r2	interpretability	composite	elapsed_s	status
baseline	2026-03-16T16:30:50.259159+00:00	evRev	Baseline OLS: growth_pct -> valuation_multiple	1	0.011745	0.399893	0.016871	0.500000	0.183045	0.0	improved
exp_20260316_163245_0e8916	2026-03-16T16:32:45.232556+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163329_0d103b	2026-03-16T16:33:29.100198+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163412_5a5b28	2026-03-16T16:34:12.897909+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163451_64d621	2026-03-16T16:34:51.010582+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163526_33dba5	2026-03-16T16:35:26.811178+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163609_bfad48	2026-03-16T16:36:09.633563+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163657_2aef99	2026-03-16T16:36:57.716117+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163734_9ec327	2026-03-16T16:37:34.111858+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163800_03f363	2026-03-16T16:38:00.687236+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163841_1983dc	2026-03-16T16:38:41.405111+00:00	evRev	N/A	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	error
exp_20260316_163917_2b6092	2026-03-16T16:39:17.762788+00:00	evRev	Ridge regression with winsorized growth (2.5/97.5 pctile), growth^2 for non-linearity, and log|growth| for diminishing returns. Target multiples also winsorized. 3 features, all growth-derived with economic rationale: linear growth premium, convex high-growth premium, and diminishing marginal valuation benefit.	3	0.142767	0.926305	0.151823	0.300000	0.364047	0.1	improved
exp_20260316_163958_4fd112	2026-03-16T16:39:58.482477+00:00	evRev	Ridge regression (lambda=5) on log-transformed valuation multiples. Features: winsorized growth% (linear growth premium), log|growth| (diminishing returns), gross margin (profitability premium), growth×margin interaction (quality-growth synergy), and sector dummies (SaaS, Software, Semi, Hardware, Health, Payments, Cybersecurity) capturing systematic industry valuation differences. 11 features with strong economic rationale. Log target reduces outlier influence; predictions exponentiated back.	11	-1.544904	0.000000	-1.641208	0.300000	0.045000	0.1	worse
exp_20260316_164102_76e211	2026-03-16T16:41:02.299982+00:00	evRev	Ridge regression with Huber-robust reweighting on winsorized data (5/95 pctile). 5 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium, (3) log|growth| — diminishing returns, (4) gross margin (GP/Rev) — profitability premium driving EV/Rev, (5) growth × margin interaction — quality-growth synergy. Features standardized before fitting for numerical stability. All features have clear economic rationale for cross-sectional valuation.	5	0.107270	0.894356	0.120579	0.300000	0.335613	25.5	worse
exp_20260316_164127_a584e8	2026-03-16T16:41:27.908680+00:00	evRev	Ridge regression (lambda=2) with standardized features on winsorized data (5/95 pctile). 3 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium capturing convexity in market's willingness to pay for faster growth, (3) log|growth| — diminishing marginal valuation benefit at extreme growth rates. Target multiples winsorized to reduce outlier influence. Features standardized before fitting for numerical stability and comparable regularization across features.	3	0.127596	0.893890	0.138950	0.300000	0.347301	0.1	worse
exp_20260316_164220_b54a10	2026-03-16T16:42:20.253918+00:00	evRev	Ridge regression (lambda=1) with standardized features on winsorized data (2.5/97.5 pctile). 8 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium, (3) log|growth| — diminishing returns at extreme growth, (4) gross margin (GP/Rev) — profitability premium driving EV/Rev, (5) growth × margin interaction — quality-growth synergy, (6) SaaS dummy — SaaS companies trade at systematic premium, (7) Software dummy — software sector valuation effect, (8) Semiconductor dummy — hardware sector valuation discount. All features have clear economic rationale for cross-sectional valuation.	0	0.000000	0.000000	0.000000	0.300000	0.045000	0.0	worse
